Provience,hrefs_prov,cities,hrefs_city,address,hrefs_site,Has WiFi,Catering Available,Dine In,Take Out,Dine-In Sunday,Dine-In Monday,Dine-In Tuesday,Dine-In Wednesday,Dine-In Thursday,Dine-In Friday,Dine-In Saturday,Drive-Thru Sunday,Drive-Thru Monday,Drive-Thru Tuesday,Drive-Thru Wednesday,Drive-Thru Thursday,Drive-Thru Friday,Drive-Thru Saturday,lat,lng
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Airdrie ,https://locations.timhortons.ca/en/locations-list/ab/airdrie,"  185 East Lake Cres Ne, Airdrie AB T4A 2H7 ",https://locations.timhortons.ca/en/ab/airdrie/185-east-lake-cres-ne,Yes,No,Yes,Yes,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,51.28636131123005,-113.99902053829237
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Airdrie ,https://locations.timhortons.ca/en/locations-list/ab/airdrie,"  204 Veterans Blvd Ne, Unit 101, Airdrie AB T4B 3P2 ",https://locations.timhortons.ca/en/ab/airdrie/204-veterans-blvd-ne,Yes,No,Yes,Yes,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,51.300774664292476,-114.00582605693761
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Airdrie ,https://locations.timhortons.ca/en/locations-list/ab/airdrie,"  300-2649 Main St Sw, Airdrie AB T4B 2V7 ",https://locations.timhortons.ca/en/ab/airdrie/300-2649-main-st-sw,Yes,No,Yes,Yes,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,51.269840202885604,-114.00885485765005
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Airdrie ,https://locations.timhortons.ca/en/locations-list/ab/airdrie,"  401 - 1 Midtown Blvd Sw, Airdrie AB T4B 4E7 ",https://locations.timhortons.ca/en/ab/airdrie/401-1-midtown-blvd-sw,Yes,No,Yes,Yes,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,51.28453422397587,-114.0247044498216
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Airdrie ,https://locations.timhortons.ca/en/locations-list/ab/airdrie,"  900 Market St Se, Airdrie AB T4A 0K9 ",https://locations.timhortons.ca/en/ab/airdrie/900-market-st-se,No,No,No,Yes,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,6:00 AM - 11:00 PM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,51.27019458975187,-113.99439808632917
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Athabasca ,https://locations.timhortons.ca/en/locations-list/ab/athabasca,"  Highway 55 & 34th St., Athabasca AB T9S 0B8 ",https://locations.timhortons.ca/en/ab/athabasca/highway-55-34th-st,Yes,No,Yes,Yes,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,54.71894298434208,-113.25748001842642
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Banff ,https://locations.timhortons.ca/en/locations-list/ab/banff,"  100 Gopher St, Banff AB T1L 1J3 ",https://locations.timhortons.ca/en/ab/banff/100-gopher-st,Yes,No,Yes,Yes,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,51.18025551139388,-115.5765387209023
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Barrhead ,https://locations.timhortons.ca/en/locations-list/ab/barrhead,"  5101 50 St, Barrhead AB T7N 1A4 ",https://locations.timhortons.ca/en/ab/barrhead/5101-50-st,Yes,Yes,Yes,Yes,Closed,Closed,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,54.12045000792831,-114.40389418399825
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Beaumont ,https://locations.timhortons.ca/en/locations-list/ab/beaumont,"  5900 50th St, Beaumont AB T4X 1T8 ",https://locations.timhortons.ca/en/ab/beaumont/5900-50th-st,Yes,No,Yes,Yes,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,53.36147700127282,-113.41584199732907
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Beaumont ,https://locations.timhortons.ca/en/locations-list/ab/beaumont,"  6001 29th Ave, Beaumont AB T4X 0H5 ",https://locations.timhortons.ca/en/ab/beaumont/6001-29th-ave,Yes,No,Yes,Yes,5:00 AM - 9:00 PM,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,5:00 AM - 9:00 PM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,53.33853108032537,-113.42821083656895
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Black Diamond ,https://locations.timhortons.ca/en/locations-list/ab/black-diamond,"  100 3rd St Ne, Black Diamond AB T0L 0H0 ",https://locations.timhortons.ca/en/ab/black-diamond/100-3rd-st-ne,Yes,No,Yes,Yes,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,50.68901848545718,-114.22634890034159
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Blackfalds ,https://locations.timhortons.ca/en/locations-list/ab/blackfalds,"  6017 Parkwood Rd, Blackfalds AB T0M 0J0 ",https://locations.timhortons.ca/en/ab/blackfalds/6017-parkwood-rd,Yes,No,Yes,Yes,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,52.38405400998147,-113.78590302252485
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Blairmore ,https://locations.timhortons.ca/en/locations-list/ab/blairmore,"  10501 20th Ave, Blairmore AB T0K 0E0 ",https://locations.timhortons.ca/en/ab/blairmore/10501-20th-ave,Yes,No,Yes,Yes,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,49.62032951862565,-114.46397937576472
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Bonnyville ,https://locations.timhortons.ca/en/locations-list/ab/bonnyville,"  5401 43 Rd St, #102, Bonnyville AB T9N 2G4 ",https://locations.timhortons.ca/en/ab/bonnyville/5401-43-rd-st,Yes,No,Yes,Yes,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,54.27128322155741,-110.72217098005217
